Country,Code,Year,Status,Value,Class
Brazil,BRA,1990,Live Count,147102320,1
Brazil,BRA,1990,Slaughtered,22500000,2
Brazil,BRA,1991,Live Count,152135505,1
Brazil,BRA,1991,Slaughtered,24900000,2
Brazil,BRA,1992,Live Count,154229303,1
Brazil,BRA,1992,Slaughtered,24400000,2
Brazil,BRA,1993,Live Count,155134074,1
Brazil,BRA,1993,Slaughtered,25200000,2
Brazil,BRA,1994,Live Count,158243229,1
Brazil,BRA,1994,Slaughtered,24600000,2
Brazil,BRA,1995,Live Count,161227938,1
Brazil,BRA,1995,Slaughtered,24021000,2
Brazil,BRA,1996,Live Count,158288540,1
Brazil,BRA,1996,Slaughtered,25008000,2
Brazil,BRA,1997,Live Count,161416157,1
Brazil,BRA,1997,Slaughtered,26197000,2
Brazil,BRA,1998,Live Count,163154357,1
Brazil,BRA,1998,Slaughtered,28187000,2
Brazil,BRA,1999,Live Count,164621038,1
Brazil,BRA,1999,Slaughtered,30539500,2
Brazil,BRA,2000,Live Count,169875524,1
Brazil,BRA,2000,Slaughtered,31143800,2
Brazil,BRA,2001,Live Count,176388726,1
Brazil,BRA,2001,Slaughtered,33500000,2
Brazil,BRA,2002,Live Count,185348838,1
Brazil,BRA,2002,Slaughtered,34500000,2
Brazil,BRA,2003,Live Count,195551576,1
Brazil,BRA,2003,Slaughtered,35500000,2
Brazil,BRA,2004,Live Count,204512737,1
Brazil,BRA,2004,Slaughtered,36500000,2
Brazil,BRA,2005,Live Count,207156696,1
Brazil,BRA,2005,Slaughtered,39430000,2
Brazil,BRA,2006,Live Count,205886244,1
Brazil,BRA,2006,Slaughtered,41225000,2
Brazil,BRA,2007,Live Count,199752014,1
Brazil,BRA,2007,Slaughtered,42325000,2
Brazil,BRA,2008,Live Count,202306731,1
Brazil,BRA,2008,Slaughtered,40438000,2
Brazil,BRA,2009,Live Count,205307954,1
Brazil,BRA,2009,Slaughtered,39466000,2
Brazil,BRA,2010,Live Count,209541109,1
Brazil,BRA,2010,Slaughtered,39400000,2
Brazil,BRA,2011,Live Count,212815311,1
Brazil,BRA,2011,Slaughtered,39100000,2
Brazil,BRA,2012,Live Count,211279082,1
Brazil,BRA,2012,Slaughtered,40205000,2
Brazil,BRA,2013,Live Count,211764292,1
Brazil,BRA,2013,Slaughtered,41590000,2
Brazil,BRA,2014,Live Count,212366132,1
Brazil,BRA,2014,Slaughtered,40385000,2
Brazil,BRA,2015,Live Count,215220508,1
Brazil,BRA,2015,Slaughtered,38365000,2
India,IND,1990,Live Count,202500000,1
India,IND,1990,Slaughtered,10297000,2
India,IND,1991,Live Count,203500000,1
India,IND,1991,Slaughtered,10360000,2
India,IND,1992,Live Count,204584000,1
India,IND,1992,Slaughtered,10208000,2
India,IND,1993,Live Count,203634000,1
India,IND,1993,Slaughtered,10151000,2
India,IND,1994,Live Count,202684000,1
India,IND,1994,Slaughtered,10094000,2
India,IND,1995,Live Count,201734000,1
India,IND,1995,Slaughtered,10037000,2
India,IND,1996,Live Count,200784000,1
India,IND,1996,Slaughtered,9980000,2
India,IND,1997,Live Count,198882000,1
India,IND,1997,Slaughtered,9922000,2
India,IND,1998,Live Count,196535008,1
India,IND,1998,Slaughtered,9805000,2
India,IND,1999,Live Count,194216000,1
India,IND,1999,Slaughtered,9688000,2
India,IND,2000,Live Count,191924000,1
India,IND,2000,Slaughtered,9575000,2
India,IND,2001,Live Count,189660000,1
India,IND,2001,Slaughtered,9461000,2
India,IND,2002,Live Count,187422000,1
India,IND,2002,Slaughtered,9350000,2
India,IND,2003,Live Count,185180992,1
India,IND,2003,Slaughtered,9240000,2
India,IND,2004,Live Count,188570000,1
India,IND,2004,Slaughtered,9409000,2
India,IND,2005,Live Count,192020992,1
India,IND,2005,Slaughtered,9580000,2
India,IND,2006,Live Count,195535008,1
India,IND,2006,Slaughtered,9756000,2
India,IND,2007,Live Count,199075008,1
India,IND,2007,Slaughtered,9932600,2
India,IND,2008,Live Count,197444992,1
India,IND,2008,Slaughtered,9850000,2
India,IND,2009,Live Count,195815008,1
India,IND,2009,Slaughtered,9770000,2
India,IND,2010,Live Count,194184992,1
India,IND,2010,Slaughtered,9690000,2
India,IND,2011,Live Count,192555008,1
India,IND,2011,Slaughtered,9607000,2
India,IND,2012,Live Count,190904105,1
India,IND,2012,Slaughtered,9520000,2
India,IND,2013,Live Count,1.89E+08,1
India,IND,2013,Slaughtered,9430000,2
India,IND,2014,Live Count,1.87E+08,1
India,IND,2014,Slaughtered,9330000,2
India,IND,2015,Live Count,185026816,1
India,IND,2015,Slaughtered,9230075,2
