Country,Code,Year,Share of Emissions (%),Meat Supply Per Capita (Kg),Per Capita Milk Consumption (Kg),Per Capita Egg Consumption (Kg),Per Capita Seafood Consumption (Kg),Cattle Count,Poultry Count,Pig Count,Beef Production (Tonnes),Poultry Production (Tonnes),Pigmeat Production (Tonnes),Milk Production (Tonnes),Seafood Production (Tonnes),Egg Production (Tonnes),GDP Per Capita
Brazil,BRA,1990,9.799575767,49.41,92.4,7.35,5.8,147102320,557035000,33623184,4115000,2421565,1050000,15075930,20490,1256301,10521.12101
Brazil,BRA,1991,9.92665554,52.64,96.94,7.66,5.23,152135505,608692000,34290275,4510800,2703855,1200000,15808761,23390,1341019,10493.92831
Brazil,BRA,1992,10.0273637,53.68,95,7.46,4.63,154229303,653025000,34532168,4715500,2957042,1260000,16569935,29820,1342950,10268.1141
Brazil,BRA,1993,10.1353811,55.3,93.55,7.36,5.33,155134074,669467000,34184187,4806900,3235056,1500000,16334264,30390,1357757,10569.6951
Brazil,BRA,1994,10.21047521,60.57,97.11,7.48,5.65,158243229,698488000,35141840,5136000,3511566,1700000,16530762,30915,1408625,10953.12026
Brazil,BRA,1995,10.1780227,69.02,114.5,7.41,6.09,161227938,741931000,36062104,5710200,4153668,1800000,17240954,46202,1447350,11254.26318
Brazil,BRA,1996,10.36405446,70.25,116.57,7.06,6.95,158288540,739087000,29202182,6186900,4152495,1900000,19296782,77690,1407572,11321.38987
Brazil,BRA,1997,9.826185005,71.92,112.42,7.59,6.45,161416157,772422000,29637108,5921500,4571000,2050000,19462844,87676,1508977,11524.11107
Brazil,BRA,1998,10.24931743,72.22,112.39,7.01,5.96,163154357,777422000,30006946,5794300,4969050,2400000,19495596,103915,1430539,11387.62356
Brazil,BRA,1999,10.41828576,76.44,113.66,7.25,5.91,164621038,817025000,30838616,6413300,5646800,2400000,19892525,140657,1511000,11272.7068
Brazil,BRA,2000,10.52960384,78.98,112.42,7.4,6.03,169875524,856641000,31562112,6578800,6124750,2600000,20644615,172450,1569464,11600.94846
Brazil,BRA,2001,12.15738928,76.38,109.23,7.37,6.13,176388726,898888000,32605112,6823600,6380150,2637000,21397582,205568,1604143,11602.4996
Brazil,BRA,2002,11.65123143,78.69,116.23,7.18,6.16,185348838,901045000,31918749,7139000,7239215,2798000,22561866,247678,1606500,11800.84097
Brazil,BRA,2003,11.94639117,79.66,113.42,7.18,5.95,195551576,939673000,32304904,7230000,7967410,3059000,23191258,273268,1628752,11786.33375
Brazil,BRA,2004,11.59691933,81.21,116.52,7.18,6.11,204512737,964048000,33085300,7774000,8895410,3110000,24461480,269699,1678332,12316.37426
Brazil,BRA,2005,11.65695193,74.52,121.05,7.25,6.04,207156696,1018791000,34063936,8592000,8148190,2800000,25648147,257784,1745529,12565.94139
Brazil,BRA,2006,8.872246384,77.9,123.67,7.68,6.6,205886244,1031916000,35173824,9020000,8461543,2830000,26451467,271697,1834564,12922.15548
Brazil,BRA,2007,9.093089407,80.54,120.83,7.47,6.99,199752014,1153258000,35945016,9303000,9390575,2990000,26387120,289048,1857817,13564.9942
Brazil,BRA,2008,9.00756238,86.18,129.08,7.61,7.61,202306731,1228004000,36819016,9024000,10688080,3015000,28686743,331553,1938802,14114.97477
Brazil,BRA,2009,8.888952476,85.21,136.66,7.98,8.32,205307954,1259587000,38045456,8935000,10414020,3130000,29328137,365127,2037205,13962.25888
Brazil,BRA,2010,9.246890812,89.47,142.96,8.36,8.99,209541109,1269513000,38956760,9115000,11185226,3195000,30961066,411777,2087400,14873.20832
Brazil,BRA,2011,7.431087959,92.97,150.78,8.75,10.57,212815311,1299059000,39307336,9030000,11918530,3227000,32364586,436084,2192774,15323.33173
Brazil,BRA,2012,7.424283846,93.53,150.93,8.96,10.96,211279082,1277369000,38795902,9307000,12052902,3149726,32573815,480880,2254784,15478.78929
Brazil,BRA,2013,7.435495249,97.58,149.28,8.98,10.87,211764292,1279338000,36743593,9675000,12492283,3117087,34528921,477752,2377002,15805.22291
Brazil,BRA,2014,7.417774504,96.23,153.37,8.12,9.94,212366132,1353499000,37930307,9723000,12982413,3192918,35361695,564230,2476218,15749.51216
Brazil,BRA,2015,7.408493719,97.88,150.28,7.93,9.02,215220508,1359179000,39795222,9425000,13636839,3430734,34861770,575230,2490690,15064.17607
China,CHN,1990,10.37315235,23.71,5.02,6.18,10.44,77909675,2532714000,353841892,1279924,3740003,23559489,7036738,8392965,8175280,1423.896348
China,CHN,1991,10.426288,25.43,5.37,7.08,10.76,81327882,2780062000,371207650,1538585,4479763,25824122,7625969,9695110,9460370,1534.705272
China,CHN,1992,10.34810752,27.56,5.51,7.72,12.12,82722948,2985888000,379910437,1780731,5120819,27647176,8072727,12185159,10461440,1731.657215
China,CHN,1993,10.29929296,29.65,5.42,8.82,14.32,85783320,3310877000,394069610,2227504,6407832,29836491,8150373,15221669,12072360,1949.534268
China,CHN,1994,10.40889568,32.02,5.98,10.97,17.23,90908312,3666035000,402942820,2420202,7173750,33426476,8681860,18213586,15079320,2178.924057
China,CHN,1995,10.97104199,34.33,6.4,12.31,20.26,100555931,3866886000,424787700,2903233,8674031,37885022,9495245,21152498,17084715,2391.477116
China,CHN,1996,10.88497862,34.59,6.85,14.34,21.91,108913232,4238055000,452309000,3253779,8794685,33014694,10191470,23465788,19991945,2601.363426
China,CHN,1997,10.27926726,37.09,6.71,13.68,22.07,90835401,4856491000,373689400,3975263,10219776,37156348,10094355,23747400,19359190,2812.711135
China,CHN,1998,10.75589651,39.91,6.98,14.47,22.84,99435292,3821483000,408487887,4376426,11222433,39900430,10516943,25671892,20591760,3004.427342
China,CHN,1999,10.81025374,41.41,7.65,15.2,23.21,101912343,4180177000,429311596,5079177,11761396,41049331,11244561,28000956,21740170,3206.730026
China,CHN,2000,10.29806691,44,8.51,15.44,24.07,104553559,4445543000,438910194,5155924,12688865,40751526,12374059,29749708,22212689,3451.679231
China,CHN,2001,10.63051111,43.76,9.99,15.55,23.57,100929433,4620921000,424065954,5107845,12524013,41654251,14515253,31102502,22496657,3712.338132
China,CHN,2002,10.12380624,44.62,12.31,15.86,24.66,95555476,5028047000,426889605,5239939,12732083,42322776,17334078,33160272,23039358,4024.355697
China,CHN,2003,10.56492128,46.63,15.69,16.23,25.02,93099589,4876578000,424750941,5445101,13135215,43433462,21869665,34891716,23710758,4400.825183
China,CHN,2004,11.21274196,46.74,20.04,16.39,26.2,92207458,5193635000,420786799,5624749,13236763,44478789,26906745,37172412,24080990,4817.211845
China,CHN,2005,11.80425826,48.44,22.74,16.75,26.68,90134331,5460997000,428237970,5702119,14055218,46622207,32023081,38943268,24725919,5334.646639
China,CHN,2006,12.18621027,49.96,25.88,16.56,27.55,87548391,5494407000,440549544,5924165,14285777,47590463,36471881,40911092,24598335,5979.781712
China,CHN,2007,12.69062553,51.43,27.65,17.13,28.61,82066855,5653726000,425712621,6281250,15171768,43933237,39824001,42530160,25655635,6795.174012
China,CHN,2008,12.83446221,53.72,28.1,18.18,29.72,82815275,6081295000,446655798,6191903,15992412,47190352,40197490,44072888,27374230,7412.874363
China,CHN,2009,12.91098302,55.4,29.19,18.34,31.18,70382871,6295273000,478359697,6277317,16616631,49897955,40383045,46062876,27772965,8069.354638
China,CHN,2010,13.04334648,56.84,30.58,18.37,32.16,68871241,6434057000,473952503,6306451,17243044,51693862,41155396,47789756,27992163,8884.588031
China,CHN,2011,13.8421083,56.85,31.07,18.59,32.86,65825758,5674806000,477109052,6122697,17799825,51593351,41804018,49147608,28475990,9686.61529
China,CHN,2012,13.77496582,59.62,32.46,18.77,34.68,64103135,5922457000,486742946,6162285,18696521,54435720,42377399,52082584,28978226,10397.56142
China,CHN,2013,13.97144699,61.05,32.66,18.76,34.47,63045029,5824758000,485112117,6146303,18907043,55917319,40244405,55029056,29127047,11149.86756
China,CHN,2014,13.7818819,60.83,28.71,18.63,35.93,63046907,5580822000,484914637,6173202,18188185,57660394,42264929,57320504,29308748,11917.3385
China,CHN,2015,13.50262725,60.69,24.61,22.08,37.49,63195900,5657180000,477319294,6183515,17903618,57415567,36588999,59368940,30835121,12691.82155
India,IND,1990,4.895768196,4.12,52.55,1.14,3.75,202500000,290600000,11900000,2114348,391570,413000,53678000,1017136,1161000,1813.135853
India,IND,1991,4.978735685,4.23,51.67,1.16,3.87,203500000,296300000,12300000,2166802,522580,427000,54251194,1225261,1210000,1795.302326
India,IND,1992,5.035060952,4.23,53.22,1.19,3.97,204584000,306109000,12788000,2178608,540320,444500,56598655,1395444,1262000,1856.170582
India,IND,1993,5.113409545,4.23,54.38,1.23,4.08,203634000,314900000,12900000,2187641,608360,448000,59055625,1416702,1329000,1906.412058
India,IND,1994,5.156163542,4.18,55.26,1.3,4.21,202684000,323700000,1.30E+07,2196812,625100,451500,61596544,1519528,1429000,1994.226916
India,IND,1995,5.166073064,4.1,57.68,1.33,4.2,201734000,333500000,13100000,2206259,642230,455000,65569441,1658807,1496000,2104.505298
India,IND,1996,5.341522594,4.08,58.86,1.33,4.51,200784000,343300000,13200000,2216120,660390,458500,68559530,1758739,1527000,2220.893203
India,IND,1997,5.079283317,4.02,59.87,1.36,4.58,198882000,346343000,13291000,2225602,664900,461650,71083273,1864322,1590000,2268.043087
India,IND,1998,5.336726267,4.06,61.19,1.38,4.56,196535008,364750000,13328000,2230663,738300,463400,74310091,1908485,1637000,2364.408687
India,IND,1999,5.481135742,4.05,63.1,1.4,4.68,194216000,383590000,13366000,2236138,810300,464730,78448946,2134814,1691000,2527.508347
India,IND,2000,5.498219084,3.97,61.68,1.67,4.47,191924000,404400000,13403000,2242025,904040,465850,79869831,1942531,2035000,2578.59153
India,IND,2001,5.666828549,4.03,62.37,1.73,4.82,189660000,426300000,13440000,2248361,962910,467180,83628752,2120634,2151000,2656.655208
India,IND,2002,5.260880812,4.07,61.63,1.74,4.69,187422000,449100000,13478000,2255144,1127780,468580,84970711,2189445,2212000,2711.511846
India,IND,2003,5.387886706,4.08,62.25,1.7,4.76,185180992,487358000,13519000,2262720,1249000,469910,86871695,2316947,2244000,2876.743382
India,IND,2004,5.295984049,4.18,63.79,1.87,4.8,188570000,522476000,12878000,2304139,1343000,444500,91275291,2804362,2511000,3054.918876
India,IND,2005,5.391330581,4.12,65.56,1.89,5.06,192020992,560336000,12268000,2346316,1440700,425250,95840031,2973126,2568000,3245.299885
India,IND,2006,5.51744597,4.16,68.51,2.05,5.23,195535008,601196000,11686000,2389008,1555050,404915,100491917,3182817,2814000,3453.105661
India,IND,2007,5.766648549,4.36,73.23,2.1,5.17,199075008,645377000,11134000,2433418,1791400,385000,108163931,3114762,2947000,3661.955505
